Estimator,MSE,seconds,regret
IPS,3.828507577985701e-06,1.3175909519195557,0.0
DM,3.9098646270759485e-06,1.3372068405151367,8.135704909024726e-08
DR,3.910621553163834e-06,1.4900321960449219,8.211397517813273e-08
OCV$_{\mathregular{IPS}}$,3.828507577985701e-06,47.93783617019653,0.0
OCV$_{\mathregular{DR}}$,3.828507577985701e-06,50.37001705169678,0.0
SLOPE,3.9098646270759485e-06,9.39771294593811,8.135704909024726e-08
PAS-IF,3.828507577985701e-06,162.9539656639099,0.0
IPS,4.863058989876089e-07,1.3221619129180908,0.0
DM,8.969783219776885e-07,1.2672359943389893,4.106724229900796e-07
DR,8.912705664751997e-07,1.3949036598205566,4.049646674875908e-07
OCV$_{\mathregular{IPS}}$,4.863058989876089e-07,47.64399313926697,0.0
OCV$_{\mathregular{DR}}$,4.863058989876089e-07,49.93557786941528,0.0
SLOPE,8.969783219776885e-07,9.34139609336853,4.106724229900796e-07
PAS-IF,4.863058989876089e-07,168.46867728233337,0.0
IPS,7.802502889027819e-07,1.3355090618133545,0.0
DM,8.421510707314032e-07,1.3318560123443604,6.190078182862138e-08
DR,8.420019273812471e-07,1.3946759700775146,6.17516384784653e-08
OCV$_{\mathregular{IPS}}$,8.420019273812471e-07,48.452197313308716,6.17516384784653e-08
OCV$_{\mathregular{DR}}$,7.802502889027819e-07,50.39673113822937,0.0
SLOPE,8.421510707314032e-07,9.771442174911499,6.190078182862138e-08
PAS-IF,7.802502889027819e-07,169.75645971298218,0.0
IPS,1.697096291444563e-06,1.3361947536468506,0.0
DM,3.590110082308166e-06,1.4063019752502441,1.893013790863603e-06
DR,3.581741740341045e-06,1.4556379318237305,1.884645448896482e-06
OCV$_{\mathregular{IPS}}$,3.581741740341045e-06,49.1170072555542,1.884645448896482e-06
OCV$_{\mathregular{DR}}$,1.697096291444563e-06,51.98378396034241,0.0
SLOPE,3.590110082308166e-06,9.643091917037964,1.893013790863603e-06
PAS-IF,3.590110082308166e-06,146.39614701271057,1.893013790863603e-06
IPS,5.116357361103466e-09,1.3417630195617676,0.0
DM,2.213072787910573e-08,1.3176770210266113,1.7014370518002266e-08
DR,2.2836023133556794e-08,1.4550347328186035,1.771966577245333e-08
OCV$_{\mathregular{IPS}}$,5.116357361103466e-09,48.4676558971405,0.0
OCV$_{\mathregular{DR}}$,2.2836023133556794e-08,50.69880795478821,1.771966577245333e-08
SLOPE,2.213072787910573e-08,10.091907262802124,1.7014370518002266e-08
PAS-IF,2.213072787910573e-08,159.34547090530396,1.7014370518002266e-08
